Fecha,Adidas,Airbus,Allianz,Basf,Bayer,Beiersdorf,BMW,Brenntag,Commerzbank,Continental,Covestro,Daimler Truck,Deutsche Bank,Deutsche Borse,Deutsche Post,Deutsche Telekom,EON,Fresenius SE,Hannover Ruck,Heidelberg Materials,Henkel AG & Co. KGaA Vz,Infineon Technologies,Mercedez Benz Group,Merck KGaA,MTU Aero Engines,Muenchener Rueckversicherungs,Porsche AVG,Porsche Automobil Holding SE Vz,Qiagen,Rheinmetall,RWE AG St,SAP SE,Sartorius,Siemens AG,Siemens Energy AG,Siemens Healthineers,Symrise,Volkswagen,Vonovia,Zalando SE
2024-02-19, 179.40, 144.26, 248.75, 45.805, 28.065, 136.35, 102.96, 80.04, 10.72, 73.88, 46.84, 35.03, 11.962, 186.55, 43.005, 22.325, 11.855, 26.61, 227.00, 86.66, 70.60, 33.145, 67.94, 156.15, 223.90,, 79.84,,, 407.50, 31.17, 163.62, 331.40, 169.10, 13.875, 55.42, 98.28, 119.52, 26.66, 19.68
2024-02-16, 178.20, 146.28, 247.15, 46.55, 28.615, 137.20, 103.94, 79.68, 10.85, 77.10, 47.99, 35.44, 11.92, 187.30, 42.57, 22.22, 11.755, 26.30, 228.60, 84.14, 70.58, 33.395, 67.42, 155.70, 226.30,, 80.52,,, 390.20, 31.81, 164.86, 336.60, 168.82, 13.865, 54.90, 97.94, 119.44, 26.67, 19.82
2024-02-15, 174.00, 149.28, 246.90, 46.175, 28.115, 136.85, 103.00, 79.38, 11.095, 76.60, 48.85, 35.14, 12.058, 186.00, 42.445, 22.14, 11.895, 26.30, 230.50, 82.62, 70.10, 33.45, 66.87, 155.10, 222.00,, 79.54,,, 380.30, 32.30, 164.62, 330.10, 167.28, 13.88, 54.12, 98.98, 119.40, 26.61, 19.975
2024-02-14, 174.66, 150.26, 244.25, 45.62, 28.12, 137.50, 101.34, 79.08, 10.52, 75.04, 48.44, 34.58, 11.892, 186.40, 41.97, 22.055, 11.77, 26.17, 231.20, 82.14, 70.38, 33.105, 65.41, 154.30, 220.20,, 79.52,,, 369.70, 31.94, 164.98, 322.60, 164.58, 14.055, 53.66, 96.80, 117.98, 25.75, 19.65
2024-02-13, 169.82, 147.62, 245.65, 45.495, 27.905, 137.65, 100.26, 78.08, 10.48, 76.00, 48.95, 34.29, 11.834, 186.40, 41.475, 22.235, 11.835, 25.25, 229.70, 82.50, 70.66, 32.295, 65.27, 150.40, 216.50,, 80.10,,, 366.90, 32.15, 161.00, 329.90, 163.04, 14.04, 53.44, 96.56, 118.44, 25.88, 19.215
2024-02-12, 172.90, 149.28, 246.00, 44.71, 28.425, 138.35, 102.32, 79.28, 10.61, 75.32, 49.06, 34.49, 11.948, 188.05, 42.105, 22.30, 11.99, 25.68, 229.40, 83.54, 71.10, 34.00, 65.42, 152.00, 217.90,, 81.14,,, 358.70, 32.64, 166.68, 334.60, 164.68, 14.465, 54.00, 95.54, 119.38, 26.62, 19.31
2024-02-09, 172.92, 149.94, 243.85, 44.15, 27.80, 138.50, 102.36, 80.16, 10.42, 75.00, 48.22, 34.23, 11.572, 187.60, 42.305, 22.23, 11.955, 25.37, 229.10, 83.74, 70.56, 33.795, 65.22, 152.80, 217.90,, 80.44,,, 336.40, 32.49, 168.62, 343.80, 165.50, 13.78, 54.20, 96.10, 118.74, 26.20, 18.825
2024-02-08, 173.12, 151.34, 244.45, 44.505, 27.88, 137.70, 101.84, 80.74, 10.31, 75.54, 47.89, 34.09, 11.684, 186.50, 42.675, 22.17, 12.00, 25.36, 228.60, 85.00, 71.48, 33.245, 65.23, 151.30, 218.10,, 81.90,,, 332.00, 32.94, 167.28, 344.10, 170.00, 13.905, 54.22, 96.78, 118.72, 26.61, 19.075
2024-02-07, 175.54, 150.86, 246.30, 44.625, 28.795, 140.85, 99.06, 80.52, 10.42, 74.52, 48.12, 34.18, 11.70, 186.55, 42.055, 22.40, 12.11, 25.45, 231.70, 86.72, 71.22, 31.93, 64.23, 150.30, 217.60,, 81.50,,, 334.30, 32.86, 168.28, 344.20, 167.80, 14.445, 54.02, 97.28, 118.30, 26.98, 18.815
2024-02-06, 175.44, 151.74, 247.60, 45.24, 29.435, 141.80, 97.27, 80.96, 10.755, 74.32, 48.11, 33.98, 12.276, 186.95, 43.505, 22.655, 12.21, 25.70, 225.00, 86.16, 71.28, 33.515, 64.15, 149.75, 216.00,, 81.42,,, 333.90, 33.15, 165.70, 332.90, 167.42, 14.27, 53.48, 97.00, 117.92, 27.31, 18.63
