Columna,Valor más repetido
Adidas,173.0
Airbus,113.0
Allianz,218.0
Basf,46.0
Bayer,53.0
Beiersdorf,92.0
BMW,84.0
Brenntag,73.0
Commerzbank,5.0
Continental,66.0
Covestro,48.0
Daimler Truck,31.0
Deutsche Bank,10.0
Deutsche Borse,164.0
Deutsche Post,41.0
Deutsche Telekom,15.0
EON,10.0
Fresenius SE,28.0
Hannover Ruck,154.0
Heidelberg Materials,72.0
Henkel AG & Co. KGaA Vz,71.0
Infineon Technologies,34.0
Mercedez Benz Group,72.0
Merck KGaA,165.0
MTU Aero Engines,208.0
Muenchener Rueckversicherungs,
Porsche AVG,114.0
Porsche Automobil Holding SE Vz,
Qiagen,
Rheinmetall,86.0
RWE AG St,33.0
SAP SE,122.0
Sartorius,390.0
Siemens AG,135.0
Siemens Energy AG,19.0
Siemens Healthineers,46.0
Symrise,97.0
Volkswagen,138.0
Vonovia,54.0
Zalando SE,22.0
